id,round,date,time,home_team,away_team,set1_h,set1_a,set2_h,set2_a,set3_h,set3_a,status,notes
1,1,,09:15,Caramel Dogs,Rolling Thunder,,,,,,,Scheduled,
2,1,,10:30,Oasis,G/G,,,,,,,scheduled,
3,1,,11:55,KKM,MSVC Rats,,,,,,,scheduled,
4,1,,13:20,Fireball,Nata,,,,,,,scheduled,
5,1,,14:45,Next Level,MSVC Beavers,,,,,,,scheduled,
6,2,,09:15,Caramel Dogs,MSVC Rats,,,,,,,scheduled,
7,2,,10:30,Oasis,Rolling Thunder,,,,,,,scheduled,
8,2,,11:55,Fireball,MSVC Beavers,,,,,,,scheduled,
9,2,,13:20,G/G,Nata,,,,,,,scheduled,
10,2,,14:45,KKM,Next Level,,,,,,,scheduled,
11,3,,09:15,Fireball,KKM,,,,,,,scheduled,
12,3,,10:30,Caramel Dogs,Next Level,,,,,,,scheduled,
13,3,,11:55,G/G,MSVC Beavers,,,,,,,scheduled,
14,3,,13:20,Oasis,Nata,,,,,,,scheduled,
15,3,,14:45,Rolling Thunder,MSVC Rats,,,,,,,scheduled,
16,4,,09:15,Nata,MSVC Beavers,,,,,,,scheduled,
17,4,,10:30,Oasis,MSVC Rats,,,,,,,scheduled,
18,4,,11:55,Caramel Dogs,Fireball,,,,,,,scheduled,
19,4,,13:20,Rolling Thunder,Next Level,,,,,,,scheduled,
20,4,,14:45,G/G,KKM,,,,,,,scheduled,
21,5,,09:15,Rolling Thunder,Fireball,,,,,,,scheduled,
22,5,,10:30,Oasis,MSVC Beavers,,,,,,,scheduled,
23,5,,11:55,MSVC Rats,Next Level,,,,,,,scheduled,
24,5,,13:20,Nata,KKM,,,,,,,scheduled,
25,5,,14:45,G/G,Caramel Dogs,,,,,,,scheduled,
26,6,,09:15,Nata,Caramel Dogs,,,,,,,scheduled,
27,6,,10:30,MSVC Rats,Fireball,,,,,,,scheduled,
28,6,,11:55,Rolling Thunder,G/G,,,,,,,scheduled,
29,6,,13:20,MSVC Beavers,KKM,,,,,,,scheduled,
30,6,,14:45,Oasis,Next Level,,,,,,,scheduled,
31,7,,09:15,Nata,Rolling Thunder,,,,,,,scheduled,
32,7,,10:30,Next Level,Fireball,,,,,,,scheduled,
33,7,,11:55,Oasis,KKM,,,,,,,scheduled,
34,7,,13:20,MSVC Rats,G/G,,,,,,,scheduled,
35,7,,14:45,MSVC Beavers,Caramel Dogs,,,,,,,scheduled,
36,8,,09:15,MSVC Rats,Nata,,,,,,,scheduled,
37,8,,10:30,KKM,Caramel Dogs,,,,,,,scheduled,
38,8,,11:55,MSVC Beavers,Rolling Thunder,,,,,,,scheduled,
39,8,,13:20,Next Level,G/G,,,,,,,scheduled,
40,8,,14:45,Oasis,Fireball,,,,,,,scheduled,
41,9,,09:15,Next Level,Nata,,,,,,,scheduled,
42,9,,10:30,MSVC Beavers,MSVC Rats,,,,,,,scheduled,
43,9,,11:55,KKM,Rolling Thunder,,,,,,,scheduled,
44,9,,13:20,Fireball,G/G,,,,,,,scheduled,
45,9,,14:45,Oasis,Caramel Dogs,,,,,,,scheduled,
